                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.0525,                0.88773,                 1.3074,                 1.1718,                0.97775,                 1.3715,                0.70118,                0.55041,                 0.5614,                0.29256,                 1.6531,                 1.4916,                 1.7651,                 1.8386,                 1.7459,                 1.7974,               0.007492,               0.007492,               0.007492
                     41,                 1.0736,                0.91368,                 1.2969,                 1.1989,                0.99776,                 1.3538,                0.66193,                0.50206,                0.54589,                0.27347,                 1.5995,                 1.3504,                 1.7049,                 1.7048,                 1.6081,                 1.7348,               0.007426,               0.007426,               0.007426
                     42,                 1.0191,                0.84487,                 1.2646,                 1.1642,                0.93175,                 1.3247,                0.74424,                0.57202,                0.59037,                 0.2933,                 1.5471,                  1.456,                 1.6838,                 1.6545,                 1.8282,                 1.7434,                0.00736,                0.00736,                0.00736
                     43,                  1.028,                0.83245,                 1.2928,                 1.1674,                0.90754,                  1.342,                0.63865,                0.60082,                0.57914,                0.31686,                  1.521,                 1.2641,                 1.6546,                  1.617,                 1.5635,                 1.6572,               0.007294,               0.007294,               0.007294
                     44,                0.99452,                0.81132,                 1.2589,                 1.1364,                0.92096,                 1.3047,                0.69257,                0.55623,                0.59642,                0.31672,                 1.5329,                 1.4103,                 1.6555,                 1.6712,                 1.7194,                 1.6851,               0.007228,               0.007228,               0.007228
                     45,                0.99205,                0.80652,                  1.235,                 1.1142,                0.92565,                 1.2684,                0.67734,                0.53498,                0.56457,                0.31923,                  1.635,                  1.574,                 1.7832,                  1.622,                 1.9636,                 1.7399,               0.007162,               0.007162,               0.007162
                     46,                 1.0086,                 0.8374,                 1.2898,                 1.1295,                0.95208,                 1.3267,                0.63933,                0.56379,                0.56427,                0.29962,                 1.7752,                 1.5497,                 2.0073,                 1.7728,                 1.7819,                 1.8463,               0.007096,               0.007096,               0.007096
                     47,                 0.9601,                0.76987,                 1.2274,                 1.0856,                0.86317,                 1.2699,                0.52049,                0.42882,                0.39699,                0.21006,                 1.8069,                  1.964,                 2.0663,                 1.8265,                 2.3677,                 2.0478,                0.00703,                0.00703,                0.00703
                     48,                0.94307,                0.77605,                 1.2359,                 1.0881,                0.84653,                 1.2917,                0.63672,                0.56379,                0.58695,                0.33389,                 1.5749,                 1.5155,                 1.7487,                 1.6526,                 1.8288,                 1.7601,               0.006964,               0.006964,               0.006964
                     49,                0.96059,                 0.7555,                 1.2356,                 1.0927,                 0.8067,                 1.2783,                 0.7261,                0.53909,                0.56541,                0.31245,                 1.7446,                 1.5043,                 1.8272,                 1.7382,                 1.8487,                  1.747,               0.006898,               0.006898,               0.006898
                     50,                0.93922,                0.74614,                 1.2155,                 1.0879,                0.79301,                 1.2781,                0.64499,                0.59259,                0.59864,                 0.3225,                 1.6655,                 1.4605,                 1.7386,                 1.6941,                 1.7237,                 1.7155,               0.006832,               0.006832,               0.006832
